15,2,2,2,2,2,2,2,2,2,2
16,4,4,4,4,4,4,4,4,4,4
17,6,6,6,6,6,6,6,6,6,6
18,8,8,8,8,8,8,8,8,8,8
19,12,12,12,12,12,12,12,12,12,12
20,13,13,13,13,13,13,13,13,13,13
21,17,17,17,17,17,17,17,17,17,17
22,20,20,20,20,20,20,20,20,20,20
23,22,22,24,24,24,22,22,22,22,22
24,27,27,27,27,27,27,27,27,27,27
25,31,32,32,32,32,32,32,32,32,32
26,36,36,36,36,36,36,36,36,36,36
27,40,40,40,40,40,40,40,40,40,40
28,45,45,45,45,45,45,45,45,45,45
29,50,50,50,50,50,50,50,50,50,50
30,56,56,56,56,56,56,56,56,56,56
31,62,62,62,62,62,62,62,62,62,62
32,67,67,67,67,67,67,67,67,67,68
33,74,74,74,73,75,74,74,74,75,75
34,80,81,81,80,80,81,81,81,80,81
35,89,88,89,89,89,89,89,87,89,89
36,96,96,96,95,95,95,96,96,96,95
37,103,103,103,103,103,103,103,103,103,103
38,110,110,110,111,110,109,111,110,110,110
39,119,118,118,119,119,118,118,118,118,117
40,127,127,127,126,127,126,127,127,126,126
41,135,136,135,136,137,134,135,137,135,135
42,144,144,143,144,144,144,145,145,144,144
43,152,153,153,152,153,153,154,154,153,153
44,163,163,163,162,163,162,162,163,163,162
45,173,172,173,171,172,171,172,173,173,172
46,182,182,183,183,182,182,181,182,183,182
47,192,193,193,193,192,193,192,193,193,192
48,202,203,203,204,203,203,204,202,203,202
49,216,214,215,213,214,215,213,214,215,214
50,224,225,226,225,225,226,224,226,224,226
51,236,237,236,236,237,237,238,238,237,237
